code,name,time,netProfit ,netProfit Growth,eps,epsGrowth,interestRates,PE,dividendYield,payoutRatio,netAssetValue,currency,rate,year,month
02825,標智香港100s,2015-12-01,0.0,,0.0,0.0,0.4,16.64,1.86,38.39,,港元,1.0,2015,12
02825,標智香港100s,2016-12-01,0.0,,0.0,0.0,0.34,16.64,1.26,38.39,,港元,1.0,2016,12
02825,標智香港100s,2017-12-01,0.0,,0.0,0.0,0.44,16.64,1.64,38.39,,港元,1.0,2017,12
02825,標智香港100s,2018-12-01,0.0,,0.0,0.0,0.0,16.64,0.0,38.39,,港元,1.0,2018,12
02827,標智滬深３００s,2014-12-01,0.0,,9.46,0.0,0.0,3.12,0.0,0.0,,港元,1.0,2014,12
02827,標智滬深３００s,2015-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,1.0,2015,12
02827,標智滬深３００s,2016-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,1.0,2016,12
02827,標智滬深３００s,2017-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,1.0,2017,12
02827,標智滬深３００s,2018-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,1.0,2018,12
02828,恒生中國企業s,2014-12-01,0.0,,0.0,0.0,3.0,3.12,3.43,0.0,,港元,1.0,2014,12
02828,恒生中國企業s,2015-12-01,0.0,,0.0,0.0,3.1,3.12,3.04,0.0,,港元,1.0,2015,12
02828,恒生中國企業s,2016-12-01,0.0,,0.0,0.0,2.7,3.12,2.2,0.0,,港元,1.0,2016,12
02828,恒生中國企業s,2017-12-01,0.0,,0.0,0.0,2.7,3.12,2.41,0.0,,港元,1.0,2017,12
02828,恒生中國企業s,2018-12-01,0.0,,0.0,0.0,3.1,3.12,3.17,0.0,,港元,1.0,2018,12
02832,博時ＦＡ５０s,2013-12-01,0.0,,0.0,0.0,0.0,3.12,3.17,0.0,,港元,1.28,2013,12
02832,博時ＦＡ５０s,2015-12-01,0.0,,0.0,0.0,0.0353,3.12,3.17,0.0,,港元,1.1761,2015,12
02832,博時ＦＡ５０s,2016-12-01,0.0,,0.0,0.0,0.0,3.12,3.17,0.0,,港元,1.11125,2016,12
02832,博時ＦＡ５０s,2017-12-01,0.0,,0.0,0.0,0.0,3.12,3.17,0.0,,港元,1.1989,2017,12
02832,博時ＦＡ５０s,2018-12-01,0.0,,0.0,0.0,0.0,3.12,3.17,0.0,,港元,1.1386,2018,12
02833,恒指ＥＴＦs,2014-12-01,0.0,,0.0,0.0,7.7,3.12,3.66,0.0,,港元,1.0,2014,12
02833,恒指ＥＴＦs,2015-12-01,0.0,,0.0,0.0,7.8,3.12,3.08,0.0,,港元,1.0,2015,12
02833,恒指ＥＴＦs,2016-12-01,0.0,,0.0,0.0,7.6,3.12,24.36,0.0,,港元,1.0,2016,12
02833,恒指ＥＴＦs,2017-12-01,0.0,,0.0,0.0,0.9,3.12,3.06,0.0,,港元,1.0,2017,12
02833,恒指ＥＴＦs,2018-12-01,0.0,,0.0,0.0,0.94,3.12,3.86,0.0,,港元,1.0,2018,12
02834,安碩納指一百s,2016-12-01,0.0,,0.0,0.0,0.0,3.12,3.86,0.0,,港元,7.754,2016,12
02834,安碩納指一百s,2017-12-01,0.0,,0.0,0.0,0.0,3.12,3.86,0.0,,港元,7.814,2017,12
02834,安碩納指一百s,2018-12-01,0.0,,0.0,0.0,0.0,3.12,3.86,0.0,,港元,7.834,2018,12
02836,安碩印度s,2014-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,1.0,2014,12
02836,安碩印度s,2015-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,1.0,2015,12
02836,安碩印度s,2016-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,1.0,2016,12
02836,安碩印度s,2017-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,1.0,2017,12
02836,安碩印度s,2018-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,7.834,2018,12
02838,恒生富時中國５０s,2014-12-01,0.0,,0.0,0.0,4.0,3.12,2.72,0.0,,港元,1.0,2014,12
02838,恒生富時中國５０s,2015-12-01,0.0,,0.0,0.0,3.3,3.12,1.95,0.0,,港元,1.0,2015,12
02838,恒生富時中國５０s,2016-12-01,0.0,,0.0,0.0,3.3,3.12,1.55,0.0,,港元,1.0,2016,12
02838,恒生富時中國５０s,2017-12-01,0.0,,0.0,0.0,4.0,3.12,2.07,0.0,,港元,1.0,2017,12
02838,恒生富時中國５０s,2018-12-01,0.0,,0.0,0.0,4.7,3.12,2.78,0.0,,港元,1.0,2018,12
02843,東匯Ａ５０s,2017-09-01,0.0,,0.0,0.0,0.1998,3.12,2.78,0.0,,港元,1.17555,2017,9
02843,東匯Ａ５０s,2018-09-01,0.0,,0.0,0.0,0.2163,3.12,2.78,0.0,,港元,1.13845,2018,9
02843,東匯Ａ５０s,2019-09-01,0.0,,0.0,0.0,0.2748,3.12,2.78,0.0,,港元,1.0993,2019,9
02846,安碩滬深三百s,2014-12-01,0.0,,0.0,0.0,0.51,3.12,2.36,0.0,,港元,1.0,2014,12
02846,安碩滬深三百s,2015-12-01,0.0,,0.0,0.0,0.44,3.12,1.8,0.0,,港元,1.0,2015,12
02846,安碩滬深三百s,2016-12-01,0.0,,0.0,0.0,0.44,3.12,1.43,0.0,,港元,1.0,2016,12
02846,安碩滬深三百s,2017-12-01,0.0,,0.0,0.0,0.29,3.12,1.03,0.0,,港元,1.0,2017,12
02846,安碩滬深三百s,2018-12-01,0.0,,0.0,0.0,0.3985,3.12,1.49,0.0,,港元,1.0,2018,12
02848,ＴＲ 韓國s,2015-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,7.7505,2015,12
02848,ＴＲ 韓國s,2016-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,7.754,2016,12
02848,ＴＲ 韓國s,2017-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,7.814,2017,12
02848,ＴＲ 韓國s,2018-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,7.834,2018,12
02848,ＴＲ 韓國s,2019-12-01,0.0,,0.0,0.0,0.0,3.12,0.0,0.0,,港元,7.785,2019,12
02858,易鑫集團s,2015-12-01,-33.0,,-0.247,0.0,0.0,0.0,0.0,0.0,,港元,1.17605,2015,12
02858,易鑫集團s,2016-12-01,-1557.0,-4594.46,-1.6447,-565.93,0.0,0.0,0.0,0.0,,港元,1.11125,2016,12
02858,易鑫集團s,2017-12-01,-21977.0,-1311.28,-13.6315,-728.84,0.0,0.0,0.0,0.0,2.9306,港元,1.1989,2017,12
02858,易鑫集團s,2018-12-01,-190.0,99.14,-0.0342,99.75,0.0,0.0,0.0,0.0,2.7556,港元,1.1386,2018,12
