code,name,price
00825,新世界百貨中國,1.42
00826,天工國際,2.49
00827,玖源集團,0.08
00828,王朝酒業,0.231
00829,神冠控股,0.3
00830,中國建築興業,0.56
00831,利亞零售s,4.12
00832,建業地產s,3.93
00833,華訊,0.255
00834,康大食品,0.365
00836,華潤電力s,8.94
00837,譚木匠,4.41
00838,億和控股,0.485
00839,中教控股s,11.0
00840,天業節水,0.385
00841,木薯資源,0.222
00842,理士國際,0.48
00844,廣泰國際控股,0.415
00845,恒盛地產,0.127
00846,明發集團,0.0
00848,茂業國際,0.335
00850,久康國際,0.0
00851,盛源控股,0.10300000000000001
00852,海峽石油化工,0.465
00853,微創醫療科學s,19.0
00854,威雅利,2.0
00855,中國水務s,6.0
00856,偉仕佳杰s,3.6
00857,中國石油股份s,2.7
00858,精優藥業,0.092
00859,中昌國際控股,0.53
00860,力世紀s,0.4
00861,神州控股s,4.04
00862,遠見控股,0.285
00863,ＢＣ科技集團,6.29
00864,永利地產發展,0.0
00865,建德國際控股,0.10400000000000001
00866,中國秦發,0.0
00867,康哲藥業s,9.62
00868,信義玻璃s,8.99
00869,彩星玩具,0.3
00871,中國疏浚環保,0.04
00872,啟迪國際,0.0
00874,白雲山s,19.88
00875,中國金控,1.47
00876,佳兆業健康,0.139
00877,昂納科技集團s,4.9
00878,金朝陽集團,7.05
00880,澳博控股s,7.95
00881,中升控股s,30.25
00882,天津發展s,1.47
00883,中國海洋石油s,8.31
00884,旭輝控股集團s,5.58
00885,仁天科技控股,0.0
00886,銀基集團,0.161
00887,英皇鐘錶珠寶,0.127
00888,貝森金融,0.305
00889,連達科技控股,0.0
00891,利邦,0.0
00893,中國鐵鈦,0.138
00894,萬裕科技,0.295
00895,東江環保s,5.7
00896,興勝創建,1.06
00897,位元堂,0.27
00898,萬事昌國際,0.315
00899,亞洲資源,0.0
00900,Aeon信貸財務,5.4
00901,鷹力投資,0.061
00902,華能國際電力股份s,2.64
00904,中綠,0.14400000000000002
00905,環球大通投資,0.0
00906,中糧包裝s,2.65
00907,高雅光學,0.0
00908,珠海控股投資,1.2
00910,中國三迪,0.53
00911,前海健康,0.147
00912,信佳國際,1.39
00913,合一投資,0.0
00914,海螺水泥s,59.6
00915,道和環球,0.0
00916,龍源電力s,3.76
00918,國能國際資產,0.0
00919,現代美容,0.0
00921,海信家電集團s,7.64
00922,安賢園中國,0.114
00923,綜合環保集團,0.040999999999999995
00924,坤集團,0.405
00925,北京建設,0.109
00926,碧生源控股,0.275
00927,富士高實業,0.0
00928,蓮和醫療,0.033
00929,國際精密,0.68
00931,中國天然氣,0.23600000000000002
00932,順騰國際控股,0.325
00933,光匯石油,0.0
00934,中石化冠德s,3.06
00935,龍翔集團,0.0
00936,鵬程亞洲,0.0
00938,民生國際,0.4
00939,建設銀行s,5.97
00941,中國移動s,61.6
00943,意科控股,0.14300000000000002
00945,宏利金融,99.5
00947,摩比發展,0.82
00948,阿爾法企業,1.28
00950,李氏大藥廠s,3.51
00951,超威動力s,2.35
00952,中國通海金融,0.255
00953,邵氏兄弟控股,0.0
00954,常茂生物化學工程,0.0
00956,新天綠色能源s,1.77
00959,世紀娛樂國際,0.0
00960,龍湖集團s,37.8
00966,中國太平s,12.38
00967,桑德國際,0.0
00968,信義光能s,4.82
00969,華聯國際,0.054000000000000006
00970,耀萊集團,0.192
00973,L'Occitanes,11.08
00974,中國順客隆,0.0
00975,Mongol Mining,0.41
00976,齊合環保,0.221
00978,招商局置地s,1.26
00979,綠色能源科技集團,0.25
00980,聯華超市,1.5
00981,中芯國際s,15.16
00982,華金國際資本,0.171
00983,瑞安建業,0.0
00984,永旺,2.18
